TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,weight_0,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1
10,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,2.0,0.4,215,900,10,0.04,3.0,Logloss,SymmetricTree,Bayesian,30,0.8112676056338028,0.6923076923076923,0.9795918367346939,0.015384615384615385,0.9795918367346939
11,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.43,279,500,6,0.04,1.0,CrossEntropy,Depthwise,Bayesian,10,0.8011363636363636,0.6878048780487804,0.9591836734693877,0.015384615384615385,0.9591836734693877
12,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,439,500,9,0.07,3.0,CrossEntropy,Depthwise,Bayesian,10,0.7953216374269005,0.6974358974358974,0.9251700680272109,0.09230769230769231,0.9251700680272109
13,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.42,227,800,8,0.01,1.0,CrossEntropy,Depthwise,Bayesian,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
14,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.42,227,800,8,0.03,2.0,CrossEntropy,Depthwise,Bayesian,10,0.8112676056338028,0.6923076923076923,0.9795918367346939,0.015384615384615385,0.9795918367346939
15,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.52,211,800,8,0.06,1.0,CrossEntropy,Depthwise,Bayesian,50,0.7953216374269005,0.6974358974358974,0.9251700680272109,0.09230769230769231,0.9251700680272109
16,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.42,231,900,10,0.01,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
17,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.56,395,900,10,0.02,3.0,CrossEntropy,Depthwise,Bayesian,10,0.717607973421927,0.7012987012987013,0.7346938775510204,0.2923076923076923,0.7346938775510204
18,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.8,0.51,231,900,10,0.01,1.0,Logloss,SymmetricTree,Bayesian,30,0.6925795053003534,0.7205882352941176,0.6666666666666666,0.4153846153846154,0.6666666666666666
19,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.47,227,600,8,0.01,2.0,CrossEntropy,Depthwise,Bayesian,50,0.8123249299719888,0.6904761904761905,0.9863945578231292,0.0,0.9863945578231292
20,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,387,900,10,0.01,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
21,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,379,900,10,0.01,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
22,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.55,387,900,10,0.01,3.0,CrossEntropy,Depthwise,Bayesian,10,0.5923076923076923,0.6814159292035398,0.5238095238095238,0.4461538461538462,0.5238095238095238
23,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.59,103,800,10,0.01,3.0,CrossEntropy,Depthwise,Bayesian,10,0.6884057971014492,0.7364341085271318,0.6462585034013606,0.47692307692307695,0.6462585034013606
24,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,191,900,10,0.08,3.0,CrossEntropy,Depthwise,Bayesian,10,0.792022792022792,0.6813725490196079,0.9455782312925171,0.0,0.9455782312925171
25,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.44,363,900,8,0.02,1.0,CrossEntropy,Depthwise,Bayesian,10,0.8181818181818182,0.7024390243902439,0.9795918367346939,0.06153846153846154,0.9795918367346939
26,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.45,251,800,10,0.07,3.0,Logloss,SymmetricTree,Bernoulli,10,0.8235294117647058,0.7,1.0,0.03076923076923077,1.0
27,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.45,251,800,6,0.07,3.0,Logloss,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
28,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.46,195,800,9,0.07,2.0,Logloss,SymmetricTree,Bernoulli,30,0.8112676056338028,0.6923076923076923,0.9795918367346939,0.015384615384615385,0.9795918367346939
29,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.5,0.58,115,800,8,0.03,1.0,Logloss,SymmetricTree,Bernoulli,50,0.7307692307692307,0.6909090909090909,0.7755102040816326,0.2153846153846154,0.7755102040816326
30,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.57,307,800,10,0.05,2.0,Logloss,SymmetricTree,Bernoulli,10,0.662020905923345,0.6785714285714286,0.6462585034013606,0.3076923076923077,0.6462585034013606
31,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.45,143,900,10,0.06,3.0,Logloss,SymmetricTree,Bayesian,10,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
32,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.9,0.42,159,600,10,0.08,3.0,Logloss,SymmetricTree,Bernoulli,10,0.8146067415730337,0.69377990430622,0.9863945578231292,0.015384615384615385,0.9863945578231292
33,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.45,287,1000,10,0.07,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8158640226628895,0.6990291262135923,0.9795918367346939,0.046153846153846156,0.9795918367346939
34,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.54,431,700,9,0.01,3.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.7152317880794702,0.6967741935483871,0.7346938775510204,0.27692307692307694,0.7346938775510204
35,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.42,407,900,10,0.1,3.0,CrossEntropy,Depthwise,Bayesian,10,0.7931034482758621,0.6865671641791045,0.9387755102040817,0.03076923076923077,0.9387755102040817
36,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,479,800,8,0.01,3.0,CrossEntropy,Depthwise,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
37,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.6,0.42,391,700,10,0.07,3.0,Logloss,SymmetricTree,Bayesian,30,0.807909604519774,0.6908212560386473,0.9727891156462585,0.015384615384615385,0.9727891156462585
38,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.5,331,1000,6,0.01,2.0,CrossEntropy,Depthwise,Bernoulli,10,0.7850467289719626,0.7241379310344828,0.8571428571428571,0.26153846153846155,0.8571428571428571
39,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.48,167,900,10,0.1,1.0,CrossEntropy,Depthwise,Bayesian,10,0.8012048192771084,0.7189189189189189,0.9047619047619048,0.2,0.9047619047619048
40,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.3,0.53,11,800,8,0.01,3.0,Logloss,Depthwise,Bernoulli,10,0.6642857142857143,0.6992481203007519,0.6326530612244898,0.38461538461538464,0.6326530612244898
41,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,379,900,10,0.01,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
42,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,375,900,10,0.01,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
43,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,427,900,10,0.09,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8,0.7046632124352331,0.9251700680272109,0.12307692307692308,0.9251700680272109
44,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.6,503,600,7,0.05,3.0,CrossEntropy,Depthwise,Bayesian,10,0.6896551724137931,0.6993006993006993,0.6802721088435374,0.3384615384615385,0.6802721088435374
45,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.56,447,500,10,0.01,1.0,CrossEntropy,Depthwise,Bayesian,50,0.7794561933534743,0.7010869565217391,0.8775510204081632,0.15384615384615385,0.8775510204081632
46,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.4,15,900,9,0.04,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8158640226628895,0.6990291262135923,0.9795918367346939,0.046153846153846156,0.9795918367346939
47,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.52,175,700,10,0.03,3.0,CrossEntropy,Depthwise,Bayesian,30,0.7942028985507247,0.6919191919191919,0.9319727891156463,0.06153846153846154,0.9319727891156463
48,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,83,1000,7,0.06,1.0,CrossEntropy,SymmetricTree,Bayesian,10,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
49,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.51,179,800,6,0.01,3.0,Logloss,Depthwise,Bernoulli,10,0.7189542483660131,0.6918238993710691,0.7482993197278912,0.24615384615384617,0.7482993197278912
50,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.47,79,900,8,0.02,1.0,CrossEntropy,Depthwise,Bayesian,50,0.8011363636363636,0.6878048780487804,0.9591836734693877,0.015384615384615385,0.9591836734693877
51,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.45,251,800,6,0.07,3.0,Logloss,SymmetricTree,Bernoulli,10,0.8123249299719888,0.6904761904761905,0.9863945578231292,0.0,0.9863945578231292
52,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.45,411,800,6,0.07,3.0,Logloss,SymmetricTree,Bernoulli,10,0.8123249299719888,0.6904761904761905,0.9863945578231292,0.0,0.9863945578231292
53,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.45,251,800,6,0.07,3.0,Logloss,SymmetricTree,Bernoulli,10,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
54,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.3,0.42,295,800,6,0.07,3.0,Logloss,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
55,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.6,0.59,207,500,10,0.09,3.0,Logloss,SymmetricTree,Bernoulli,10,0.6363636363636364,0.717948717948718,0.5714285714285714,0.49230769230769234,0.5714285714285714
