TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1,weight_0
11,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,51,700,8,0.08,1.0,Logloss,SymmetricTree,Bayesian,30,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0,1.5
12,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,7,700,8,0.08,1.0,Logloss,SymmetricTree,Bayesian,30,0.8135593220338984,0.6956521739130435,0.9795918367346939,0.03076923076923077,0.9795918367346939,1.5
13,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.42,39,700,8,0.08,1.0,Logloss,SymmetricTree,Bayesian,30,0.7485029940119761,0.6684491978609626,0.8503401360544217,0.046153846153846156,0.8503401360544217,2.0
14,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.48,55,700,8,0.06,1.0,Logloss,SymmetricTree,Bayesian,30,0.8215297450424929,0.7038834951456311,0.9863945578231292,0.06153846153846154,0.9863945578231292,1.1
15,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.48,47,1000,6,0.06,3.0,Logloss,Depthwise,Bayesian,30,0.8092485549132948,0.7035175879396985,0.9523809523809523,0.09230769230769231,0.9523809523809523,1.1
16,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.48,55,500,8,0.06,1.0,Logloss,Depthwise,Bayesian,50,0.8011527377521613,0.695,0.9455782312925171,0.06153846153846154,0.9455782312925171,1.1
17,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.49,35,900,8,0.06,1.0,Logloss,SymmetricTree,Bayesian,30,0.8125,0.697560975609756,0.9727891156462585,0.046153846153846156,0.9727891156462585,1.2
18,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.56,55,700,8,0.02,3.0,Logloss,SymmetricTree,Bayesian,30,0.46511627906976744,0.7352941176470589,0.3401360544217687,0.7230769230769231,0.3401360544217687,1.4
19,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.52,-1,700,6,0.05,2.0,Logloss,Depthwise,Bayesian,30,0.8141592920353983,0.71875,0.9387755102040817,0.16923076923076924,0.9387755102040817,1.0
20,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.4,23,700,8,0.03,1.0,Logloss,SymmetricTree,Bayesian,50,0.8011363636363636,0.6878048780487804,0.9591836734693877,0.015384615384615385,0.9591836734693877,1.9
21,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.6,51,700,8,0.08,1.0,Logloss,SymmetricTree,Bayesian,30,0.6804123711340206,0.6875,0.673469387755102,0.3076923076923077,0.673469387755102,1.5
22,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.59,59,700,8,0.09,1.0,Logloss,SymmetricTree,Bayesian,30,0.06578947368421052,1.0,0.034013605442176874,1.0,0.034013605442176874,1.8
23,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.41,51,700,8,0.07,1.0,Logloss,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,1.5
24,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.45,55,700,8,0.1,1.0,Logloss,SymmetricTree,Bayesian,30,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646,1.1
25,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.46,63,800,8,0.01,1.0,Logloss,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,1.5
26,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.51,11,500,8,0.06,1.0,Logloss,Depthwise,Bayesian,30,0.7523510971786834,0.6976744186046512,0.8163265306122449,0.2,0.8163265306122449,1.4
27,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.47,59,1000,6,0.02,1.0,Logloss,SymmetricTree,Bayesian,30,0.8158640226628895,0.6990291262135923,0.9795918367346939,0.046153846153846156,0.9795918367346939,2.0
28,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.54,31,900,9,0.08,2.0,Logloss,Depthwise,Bayesian,50,0.75,0.6936416184971098,0.8163265306122449,0.18461538461538463,0.8163265306122449,1.9
29,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.42,43,600,9,0.01,3.0,CrossEntropy,Depthwise,Bayesian,30,0.8101983002832861,0.6941747572815534,0.9727891156462585,0.03076923076923077,0.9727891156462585,
30,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.48,35,700,8,0.06,1.0,Logloss,SymmetricTree,Bayesian,10,0.771513353115727,0.6842105263157895,0.8843537414965986,0.07692307692307693,0.8843537414965986,1.7
31,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,51,600,7,0.04,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
32,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,51,600,7,0.04,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
33,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,63,600,7,0.04,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0,
34,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,63,600,7,0.02,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
35,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.53,63,600,7,0.04,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8045325779036827,0.6893203883495146,0.9659863945578231,0.015384615384615385,0.9659863945578231,
36,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.57,27,700,9,0.1,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.32124352331606215,0.6739130434782609,0.2108843537414966,0.7692307692307693,0.2108843537414966,
37,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,3,600,8,0.02,1.0,CrossEntropy,Depthwise,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
38,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.55,15,800,7,0.07,2.0,CrossEntropy,SymmetricTree,Bernoulli,30,0.7678571428571429,0.6825396825396826,0.8775510204081632,0.07692307692307693,0.8775510204081632,
39,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.5,63,500,8,0.08,1.0,Logloss,Depthwise,Bernoulli,10,0.7774294670846394,0.7209302325581395,0.8435374149659864,0.26153846153846155,0.8435374149659864,1.6
40,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.43,23,900,7,0.05,1.0,CrossEntropy,SymmetricTree,Bayesian,30,0.8112676056338028,0.6923076923076923,0.9795918367346939,0.015384615384615385,0.9795918367346939,
41,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,19,600,7,0.04,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
42,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.58,51,600,7,0.04,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.0,0.0,0.0,1.0,0.0,
43,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.42,7,600,7,0.04,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
44,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,39,700,7,0.09,3.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646,
45,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.48,47,1000,6,0.03,2.0,Logloss,Depthwise,Bernoulli,50,0.8,0.696969696969697,0.9387755102040817,0.07692307692307693,0.9387755102040817,1.0
46,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.49,55,700,9,0.04,1.0,CrossEntropy,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
47,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.52,-1,800,8,0.08,1.0,Logloss,Depthwise,Bernoulli,30,0.7586206896551724,0.7034883720930233,0.8231292517006803,0.2153846153846154,0.8231292517006803,1.8
48,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.56,63,600,8,0.06,1.0,Logloss,SymmetricTree,Bayesian,10,0.0,0.0,0.0,1.0,0.0,1.3
49,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.4,43,700,7,0.02,3.0,CrossEntropy,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
50,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.6,11,500,8,0.04,1.0,Logloss,Depthwise,Bernoulli,50,0.6083650190114068,0.6896551724137931,0.54421768707483,0.4461538461538462,0.54421768707483,1.2
51,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.41,31,700,7,0.01,2.0,CrossEntropy,SymmetricTree,Bernoulli,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
52,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.42,31,700,7,0.09,2.0,CrossEntropy,SymmetricTree,Bernoulli,30,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646,
53,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.42,51,700,7,0.09,2.0,CrossEntropy,SymmetricTree,Bernoulli,30,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646,
54,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.59,55,700,6,0.09,2.0,Logloss,SymmetricTree,Bayesian,30,0.5470085470085471,0.735632183908046,0.43537414965986393,0.6461538461538462,0.43537414965986393,1.3
55,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.45,31,700,8,0.06,2.0,CrossEntropy,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
56,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.47,3,1000,7,0.05,1.0,Logloss,SymmetricTree,Bernoulli,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,1.1
57,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.46,27,900,8,0.08,1.0,Logloss,SymmetricTree,Bayesian,30,0.7861271676300579,0.6834170854271356,0.9251700680272109,0.03076923076923077,0.9251700680272109,1.5
58,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.51,15,700,8,0.07,3.0,CrossEntropy,Depthwise,Bayesian,30,0.7728613569321534,0.6822916666666666,0.891156462585034,0.06153846153846154,0.891156462585034,
59,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.54,63,700,7,0.1,1.0,Logloss,SymmetricTree,Bernoulli,50,0.7186440677966102,0.7162162162162162,0.7210884353741497,0.35384615384615387,0.7210884353741497,1.6
60,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.42,51,600,8,0.03,2.0,Logloss,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,1.5
61,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.41,51,700,8,0.07,1.0,Logloss,SymmetricTree,Bayesian,30,0.8146067415730337,0.69377990430622,0.9863945578231292,0.015384615384615385,0.9863945578231292,1.5
62,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.41,51,700,8,0.07,1.0,Logloss,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,1.5
63,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.48,35,700,8,0.07,1.0,Logloss,SymmetricTree,Bayesian,30,0.7797619047619048,0.6931216931216931,0.891156462585034,0.1076923076923077,0.891156462585034,1.5
64,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,19,700,8,0.02,1.0,Logloss,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,1.7
65,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.57,59,800,9,0.06,1.0,Logloss,SymmetricTree,Bayesian,10,0.6086956521739131,0.7264150943396226,0.5238095238095238,0.5538461538461539,0.5238095238095238,1.5
66,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,7,700,6,0.09,1.0,Logloss,Depthwise,Bayesian,30,0.8045325779036827,0.6893203883495146,0.9659863945578231,0.015384615384615385,0.9659863945578231,1.1
67,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.5,51,600,8,0.08,1.0,CrossEntropy,SymmetricTree,Bayesian,30,0.8238636363636364,0.7073170731707317,0.9863945578231292,0.07692307692307693,0.9863945578231292,
68,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.5,39,600,8,0.08,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8158640226628895,0.6990291262135923,0.9795918367346939,0.046153846153846156,0.9795918367346939,
